id;titulo;status;tipo;area;participantes;part_mercado;data_solicitacao;data_aprov;data_divulgacao;data_limite;prorrogada_ate;data_entrega;dias_uteis_para_entrega;complexidade;tipo de resposta;tempo_preenchimento;objetivos;dia da semana de lançamento;dias úteis aberta;dias entre a solicitação e a divulgação;dias para tabulação;;;;;;;;;;;
196;Análise de indeferimentos e exigências emitidas pela GEMAT;Finalizada;Solicitação de associado;Assuntos Regulatórios;40;30%;27/08/2024;;05/09/2024;18/09/2024;;20/09/2024;19;;empresa;4;coletar dados de indeferimento/exigências emitidas pela Gerência de Tecnologia de Materiais de Uso em Saúde (GEMAT).;5;10;9;2;;;;;;;;;;;
137;Programa Educacional Sindusfarma 2025;Finalizada;Pesquisa fixa anual;Programa Educacional;337;;12/09/2024;;12/09/2024;27/09/2024;;04/10/2024;17;média;indivíduo;2;aprimorar continuamente os cursos e eventos do Programa Educacional Sindusfarma, garantindo uma contribuição efetiva para a capacitação e atualização dos profissionais do setor farmacêutico.;5;12;0;5;;;;;;;;;;;
125;Pagamento de Bônus, PPR e PLR 2024;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;65;65%;09/09/2024;;09/09/2024;20/09/2024;;07/10/2024;21;alta;empresa;11;gerar um panorama das informações das indústrias farmacêuticas associadas ao Sindusfarma sobre os programas de bônus, PPR e PLR, investigando sua estrutura, composição, indicadores de desempenho, regras de pagamento e possíveis mudanças futuras.;2;10;0;11;;;;;;;;;;;
197;Estruturas da Área de Comunicação;Finalizada;Solicitação de associado;Comunicação;45;53%;12/08/2024;;28/08/2024;06/09/2024;27/09/2024;08/10/2024;42;;empresa;6;coletar informações sobre as estruturas das áreas de comunicação interna e externa das empresas e entender como são geridos alguns processos.;4;23;16;22;;;;;;;;;;;
201;Área de Meio Ambiente / Sustentabilidade;Finalizada;Solicitação de associado;Assuntos Técnicos;64;65%;20/08/2024;;11/09/2024;20/09/2024;27/09/2024;08/10/2024;36;;empresa;8;entender se as empresas possuem uma área ou um comitê dedicado a meio ambiente, sustentabilidade e/ou ESG, além de entender a estrutura dessa equipe, outras iniciativas e certificações conquistadas em relação a esse tema.;4;13;22;12;;;;;;;;;;;
207;Cesta de Natal;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;59;57%;11/09/2024;;01/10/2024;04/10/2024;;08/10/2024;20;;empresa;3;entender o que as empresas oferecem aos colaboradores em relação ao feriado de Natal, como cestas, cartões, valores em dinheiro, acréscimo no vale-refeição e outros.;3;4;20;2;;;;;;;;;;;
203;Detecção de sinais pela área de Farmacovigilância;Finalizada;Solicitação de associado;Assuntos Regulatórios;73;58%;27/08/2024;;19/09/2024;27/09/2024;;10/10/2024;33;;empresa;5;entender como as empresas praticam a detecção de sinais em Farmacovigilância, em relação a métodos quantitativos e qualitativos, periodicidade e execução.;5;7;23;9;;;;;;;;;;;
135;Empresa mais admirada 2024;Finalizada;Uso interno;Business Support;93;;30/09/2024;;30/09/2024;11/10/2024;;16/10/2024;13;;indivíduo;;;2;10;0;3;;;;;;;;;;;
211;Consulta sobre Exportação, Transferência de Tecnologia e Investimento;Finalizada;Pública;Acesso e Precificação;71;57%;27/09/2024;;03/10/2024;15/10/2024;16/10/2024;17/10/2024;15;;empresa;7;facilitar o direcionamento das próximas consultas que forem recebidas pela CGIS. Ao saber de antemão quais são os interesses internacionais das indústrias farmacêuticas, quando precisar se manifestar frente às solicitações da ASINT ou do MRE, a CGIS priorizará os países e os mercados que forem previamente sinalizados pelo setor.;5;10;6;2;;;;;;;;;;;
206;Plano de saúde/Benefício para Animais dos Colaboradores;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;55;59%;18/09/2024;;07/10/2024;11/10/2024;;21/10/2024;24;;empresa;4;entender o que as empresas oferecem aos colaboradores em relação aos seus animais (pets).;2;5;19;6;;;;;;;;;;;
126;Planos de Saúde e Redução de Sinistralidade 2024;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;61;53%;23/09/2024;;23/09/2024;04/10/2024;;23/10/2024;23;alta;empresa;;fornecer informações consolidadas e detalhadas sobre as práticas em relação aos planos de saúde utilizados, às modalidades e abrangência dos planos, à coparticipação, ao reembolso e outros parâmetros, além de entender quais são os percentuais de sinistralidade e o que as indústrias têm feito para buscar reduzir este índice.;2;10;0;13;;;;;;;;;;;
212;Revisão de relatos de Farmacovigilância;Finalizada;Solicitação de associado;Assuntos Regulatórios;80;62%;03/10/2024;;14/10/2024;18/10/2024;;24/10/2024;16;;empresa;4;entender as práticas para a revisão de qualidade dos relatos de Farmacovigilância, considerando critérios de revisão, amostragem e o uso de tecnologias.;2;5;11;4;;;;;;;;;;;
199;Implementação Art. 64 RDC 430/2020 - Transporte de Medicamentos;Finalizada;Solicitação da área técnica;Assuntos Técnicos;132;75%;22/08/2024;;10/09/2024;20/09/2024;18/10/2024;28/10/2024;48;;empresa;13;coletar informações sobre o status de implementação e impactos da adoção destes requisitos, exclusivamente para os medicamentos da cadeia seca.;3;29;19;26;;;;;;;;;;;
204;Avaliação de Desempenho 2024;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;45;41%;12/09/2024;;15/10/2024;25/10/2024;;28/10/2024;33;média;empresa;5;entender a prática das empresas em realização aos tipos de avaliação de desempenho individual, para quais públicos se aplicam, se são utilizados para mérito/reconhecimento e outros parâmetros, além de explorar métodos de gestão de talentos como a Matriz 9Box.;3;9;33;1;;;;;;;;;;;
216;Prescrição de Contraceptivos - Resolução nº 12/2024 do CFF;Finalizada;Solicitação da área técnica;Assuntos Regulatórios;60;59%;21/10/2024;;21/10/2024;25/10/2024;28/10/2024;29/10/2024;7;;empresa;3;coletar a percepção das empresas sobre os eventuais impactos positivos e/ou negativos decorrentes dessa resolução e definir possíveis encaminhamentos por parte do Sindusfarma com base nas respostas a esta pesquisa.;2;6;0;2;;;;;;;;;;;
210;Acesso ao Certificado Digital (e-CNPJ);Finalizada;Solicitação de associado;Mercado e Assuntos Jurídicos;37;35%;01/10/2024;;08/10/2024;18/10/2024;;31/10/2024;23;;empresa;5;entender o que as empresas praticam em relação ao acesso dos colaboradores ao certificado digital (e-CNPJ) da empresa em sua rotina.;3;9;7;9;;;;;;;;;;;
134;Treinamento da Força de Vendas 2024;Finalizada;Pesquisa fixa anual;Business Support;31;36%;01/10/2024;;01/10/2024;11/10/2024;30/10/2024;05/11/2024;26;alta;empresa;14;abordar diversas informações, entre elas: Perfis das empresas, nível de investimento, volume de treinamento, estrutura das áreas de treinamento, distribuição de gastos e mensuração dos resultados em T&D.;3;22;0;17;;;;;;;;;;;
208;Admissão Digital;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;54;43%;18/09/2024;;21/10/2024;25/10/2024;;07/11/2024;37;;empresa;5;avaliar as diferentes práticas de admissão adotadas pelas indústrias farmacêuticas, em relação ao uso de plataformas digitais, integração entre elas e automatização do processo.;2;5;33;9;;;;;;;;;;;
128;Férias Coletivas / Recesso no Final do Ano de 2024;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;65;54%;28/10/2024;;28/10/2024;01/11/2024;;07/11/2024;9;média;empresa;7;entender como as empresas estão planejando os períodos de recesso e férias coletivas para os colaboradores da Força de Vendas e do Escritório/Administrativo. Isso abrange a investigação dos períodos programados, a flexibilidade das férias coletivas, políticas de utilização do tempo restante, compensação de dias de recesso e a presença de um calendário anual de compensações.;2;5;0;4;;;;;;;;;;;
138;Transformação Digital 2024;Finalizada;Pesquisa fixa anual;Business Support;35;42%;16/10/2024;;16/10/2024;25/10/2024;;12/11/2024;20;alta;empresa;12;gerar um panorama sobre o momento das indústrias farmacêuticas neste tema, abordando a maturidade de estratégias inovadoras, o engajamento de e-mails marketings e portais médicos, as estruturas das áreas de marketing digital e muito mais.;4;8;0;12;;;;;;;;;;;
209;Treinamentos de Farmacovigilância;Finalizada;Solicitação de associado;Assuntos Regulatórios;102;71%;04/10/2024;;23/10/2024;01/11/2024;;13/11/2024;29;;empresa;5;entender como as empresas aplicam os treinamentos aos colaboradores da empresa e aos parceiros, se são presenciais/virtuais, se é utilizado algum tipo de sistema e se o sistema é validado, qual a frequência destes treinamentos etc.;4;8;19;8;;;;;;;;;;;
215;Operação da Folha de Pagamento;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;41;37%;17/10/2024;;06/11/2024;12/11/2024;;18/11/2024;23;;empresa;3;entender práticas em relação à sistemas utilizados, prestadores de serviços contratados e à estrutura da equipe dedicada à folha de pagamento.;4;5;20;4;;;;;;;;;;;
219;Uso da versão C3 do WHODrug nos sistemas de Farmacovigilância;Finalizada;Solicitação de associado;Assuntos Regulatórios;73;62%;24/10/2024;;04/11/2024;14/11/2024;;25/11/2024;23;;empresa;5;entender a proporção de empresas que utilizam a versão C3 do WHODrug nos sistemas de farmacovigilância, bem como sua configuração e os desafios enfrentados.;2;9;11;7;;;;;;;;;;;
214;Terceirização de serviços em Informações Médicas;Finalizada;Solicitação de associado;Assuntos Regulatórios;76;69%;25/10/2024;;05/11/2024;14/11/2024;;25/11/2024;22;;empresa;5;entender sobre as práticas de Informações Médicas na América Latina, em relação a ser uma área exclusivamente dedicado ao tema, à diretoria de alocação, à terceirização de atividades etc.;3;8;11;7;;;;;;;;;;;
136;Premiação da Força de Vendas 2024;Finalizada;Pesquisa fixa anual;Business Support;58;52%;04/11/2024;;04/11/2024;14/11/2024;;27/11/2024;18;alta;empresa;16;fornecer subsídios para as indústrias farmacêuticas sobre as práticas de pagamentos de remuneração variável;2;9;0;9;;;;;;;;;;;
220;Aplicação da CCT para propagandistas;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;34;32%;06/11/2024;;19/11/2024;27/11/2024;;28/11/2024;17;;empresa;2;entender se as empresas estão aplicando a Convenção Coletiva de Trabalho (CCT) firmada entre Sindusfarma e Sinprovesp para propagandistas e vendedores em todo o Brasil.;3;7;13;1;;;;;;;;;;;
217;Lançamento de produtos com novas tecnologias;Finalizada;Solicitação de associado;Assuntos Técnicos;27;43%;23/10/2024;;07/11/2024;19/11/2024;;03/12/2024;30;;empresa;4;entender sobre as práticas das empresas em relação ao lançamento de produtos com novas tecnologias, além de fornecer mais detalhes sobre dispositivos de auto injeção.;5;9;15;10;;;;;;;;;;;
129;Indicadores de Recursos Humanos 2024;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;36;40%;04/11/2024;;04/11/2024;22/11/2024;;03/12/2024;22;alta;empresa;12;gerar um benchmarking valioso sobre os principais indicadores de recursos humanos, incluindo uma análise personalizada de turnover voluntário e involuntário entre diferentes públicos, além de temas relevantes como absenteísmo, méritos e promoções, relação de horas extras e horas trabalhadas, tempo médio de fechamento de vagas, índice de recrutamento interno e muito mais.;2;15;0;7;;;;;;;;;;;
119;Diversidade, Equidade & Inclusão no Mercado Farmacêutico 2024;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;69;70%;05/08/2024;;14/08/2024;30/08/2024;18/10/2024;05/12/2024;89;alta;empresa;15;revelar ações impactantes e gerar um panorama sobre como o mercado farmacêutico tem agido em prol da Diversidade, Equidade & Inclusão, em relação às áreas dedicadas, às iniciativas em andamento, às vagas afirmativas e à demografia considerando identidade de gênero, raça/etnia, faixa etária e orientação sexual.;4;48;9;69;;;;;;;;;;;
218;Contratação de profissionais autônomos;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;25;20%;21/11/2024;;27/11/2024;04/12/2024;;05/12/2024;11;;empresa;3;entender se as empresas praticam o Recibo de Pagamento de Autônomo (RPA) nas contratações de prestados de serviço, além de informações sobre palestras de profissionais de saúde.;4;6;6;1;;;;;;;;;;;
205;Honorários de processos trabalhistas;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;24;37%;26/11/2024;;03/12/2024;06/12/2024;;09/12/2024;10;;empresa;2;entender as faixas de custo médio unitário mensal de honorários advocatícios por processo trabalhista das empresas.;3;4;7;1;;;;;;;;;;;
221;Uso de CDMOs para desenvolvimento de produtos;Finalizada;Solicitação da área técnica;Assuntos Técnicos;50;38%;08/11/2024;;21/11/2024;06/12/2024;;10/12/2024;23;;empresa;4;mapear as necessidades do setor em relação às CDMOs, identificando lacunas e oportunidades para orientar políticas e investimentos. A contribuição das empresas é crucial para um diagnóstico preciso e para fomentar um ambiente colaborativo no avanço da indústria farmacêutica.;5;12;13;2;;;;;;;;;;;
130;Satisfação com os provedores Close-Up e IQVIA 2024;Finalizada;Pesquisa fixa anual;Business Support;45;62%;09/09/2024;;09/09/2024;20/09/2024;11/10/2024;11/12/2024;68;alta;empresa;12;avaliar a satisfação das Indústrias Farmacêuticas em relação aos provedores de informação: Close-up e IQVIA.;2;25;0;58;;;;;;;;;;;
223;Estratégia Omnichannel 2024;Finalizada;Pesquisa fixa anual;Business Support;51;50%;19/11/2024;;19/11/2024;03/12/2024;06/12/2024;12/12/2024;18;média;empresa;10;coletar informações sobre comunicação omnichannel nas indústrias farmacêuticas associadas ao Sindusfarma, incluindo os principais desafios enfrentados pela área médica no uso de canais digitais, as formas de medir o sucesso de uma estratégia, os principais canais digitais utilizados para engajar os profissionais de saúde e muito mais.;3;14;0;7;;;;;;;;;;;
229;Práticas tributárias em Pesquisa & Desenvolvimento (P&D);Finalizada;Solicitação de associado;Mercado e Assuntos Jurídicos;43;46%;06/01/2025;;09/01/2025;17/01/2025;;22/01/2025;13;;empresa;3;gerar informações sobre práticas das indústrias farmacêuticas em relação às atividades de Pesquisa & Desenvolvimento (P&D / R&D) e pesquisa clínica no exterior.;5;7;3;3;;;;;;;;;;;
231;Cotas de Pessoas com Deficiência e Jovens Aprendizes 2025;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;55;53%;07/01/2025;;07/01/2025;17/01/2025;;24/01/2025;14;média;empresa;7;entender o cumprimento das cotas estabelecidas pelo programa de Jovem Aprendiz e para Pessoas com Deficiência (PCDs) por parte das empresas, de modo a fornecer informações consolidadas do mercado, além de coletar ações que vem sendo aplicadas em prol de cumprir as cotas, entre outros temas.;3;9;0;5;;;;;;;;;;;
232;Expediente no Carnaval de 2025 e Compensação de feriados;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;70;63%;20/01/2025;;20/01/2025;31/01/2025;;03/02/2025;11;baixa;empresa;5;entender qual é a política das empresas associadas quanto à compensação de horas nas emendas de feriados para as equipes de escritório e de Força de Vendas, além de captar como será o expediente neste Carnaval de 2025.;2;10;0;1;;;;;;;;;;;
259;Canal de Denúncias e Ouvidoria;Finalizada;Solicitação de associado;Mercado e Assuntos Jurídicos;30;42%;21/01/2025;;27/01/2025;31/01/2025;;03/02/2025;10;;empresa;5;entender se as empresas dispõem de canais de denúncias / ouvidoria interna e externa e coletar algumas informações sobre estrutura e funcionamento.;2;5;6;1;;;;;;;;;;;
226;Benefícios Flexíveis 2025;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;58;59%;09/01/2025;;29/01/2025;04/02/2025;;05/02/2025;20;;empresa;5;entender se as empresas estão oferecendo benefícios flexíveis (em que é possível transferir saldo entre diferentes modalidades) aos seus colaboradores, além de quais categorias se enquadram nesse modelo.;4;5;20;1;;;;;;;;;;;
260;Responsabilidade de cargos na área de SAC;Finalizada;Solicitação de associado;Assuntos Regulatórios;54;54%;22/01/2025;;29/01/2025;07/02/2025;;10/02/2025;14;;empresa;5;gerar um panorama de quais cargos / níveis hierárquicos ficam responsáveis pelas principais atividades da área de SAC.;4;8;7;1;;;;;;;;;;;
230;Perfil do Grupo de Trabalho (GT) de Tecnovigilância;Finalizada;Solicitação da área técnica;Assuntos Regulatórios;41;49%;27/01/2025;;27/01/2025;07/02/2025;;13/02/2025;14;;empresa;4;compreender e avaliar o perfil das empresas que fazem parte do grupo de trabalho (GT) de Tecnovigilância.;2;10;0;4;;;;;;;;;;;
258;Práticas em Programas de Demissão Voluntária (PDV);Finalizada;Solicitação de associado;Sindical Trabalhista e RH;37;30%;15/01/2025;;05/02/2025;11/02/2025;;17/02/2025;24;;empresa;5;coletar informações sobre a estrutura, benefícios, comunicação, aspectos jurídicos e financeiros e resultados de Programas de Demissão Voluntária (PDV) implementados pelas indústrias farmacêuticas.;4;5;21;4;;;;;;;;;;;
213;Agenda Estratégica Sindusfarma 2025;Finalizada;Solicitação da área técnica;Relações Institucionais;64;47%;06/01/2025;;06/01/2025;07/02/2025;11/02/2025;19/02/2025;33;;empresa;60;O Sindusfarma convida você a participar de uma pesquisa essencial para definir as prioridades estratégicas do setor farmacêutico junto aos Poderes Legislativo e Executivo (Ministérios e Agências Reguladoras) em âmbito federal. Os resultados deste levantamento subsidiarão a Agenda Estratégica Sindusfarma 2025, fortalecendo nossas ações reativas e propositivas diante da construção da agenda pública.;2;27;0;8;;;;;;;;;;;
235;Aplicação do Acordo Sindical 2025;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;63;63%;10/02/2025;;10/02/2025;14/02/2025;;19/02/2025;8;baixa;empresa;3;entender como será aplicado o reajuste salarial da Convenção Coletiva de 2025, em relação aos colaboradores da Força de Vendas, escritório e fábricas.;2;5;0;3;;;;;;;;;;;
225;Pesquisa de Satisfação - Grupos de Trabalho;Finalizada;Uso interno;Assuntos Regulatórios;167;;31/01/2025;;31/01/2025;14/02/2025;;21/02/2025;16;;indivíduo;5;"Pensando em melhorar os nossos serviços e atuação, gostaríamos de realizar uma breve pesquisa de satisfação.

A Diretoria de Assuntos Técnicos, Regulatórios e de Inovação abrange diversos temas, sendo esta pesquisa exclusiva para os temas no guarda-chuva de assuntos regulatórios, como por exemplo: farmacovigilância, tecnovigilância, SAC, COMEX, Dispositivos Médicos, Suplementos Alimentares, Evidência de Mundo Real (EMR), registro e pós-registro de medicamentos, operações regulatórias (CTD, IDMP etc) e outros temas.";6;11;0;5;;;;;;;;;;;
228;Plano de Continuidade de Negócios e Gestão de Crises;Finalizada;Solicitação da área técnica;Business Support;48;48%;03/02/2025;;03/02/2025;14/02/2025;20/02/2025;21/02/2025;15;;empresa;5;compreender como as empresas identificam, avaliam e gerenciam os riscos que enfrentam em diferentes áreas, como riscos estratégicos, operacionais, regulatórios, financeiros e outros. Além disso, busca explorar quais estruturas e processos são utilizados pelas empresas para monitorar e mitigar esses riscos, incluindo a existência de Planos de Continuidade de Negócios, Análise de Impacto de Negócios (BIA) e gestão de crises.;2;14;0;5;;;;;;;;;;;
269;Auxílio-Combustível;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;63;49%;10/02/2025;;19/02/2025;21/02/2025;;26/02/2025;13;;empresa;3;entender se as empresas oferecem o auxílio-combustível aos seus colaboradores, segmentando os valores de acordo com os níveis hierárquicos.;4;3;9;3;;;;;;;;;;;
264;Implementação da Bula Digital (RDC 885-2024);Finalizada;Solicitação da área técnica;Assuntos Regulatórios;128;79%;29/01/2025;;14/02/2025;21/02/2025;27/02/2025;28/02/2025;23;;empresa;2;entender se as indústrias farmacêuticas planejam implementar as bulas digitais, conforme a RDC 885/2024, que dispõe sobre um projeto piloto para essa implementação em substituição à versão impressa nos medicamentos, com algumas exceções.;6;10;16;5;;;;;;;;;;;
262;Reconhecimento por tempo de casa e projetos 2025;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;55;45%;17/02/2025;;17/02/2025;21/02/2025;;07/03/2025;12;;empresa;10;entender detalhes sobre as melhores práticas em relação aos programas de reconhecimento por tempo de casa e reconhecimento de projetos.;2;5;0;10;;;;;;;;;;;
263;Entrevistas de desligamento;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;53;45%;28/01/2025;;26/02/2025;28/02/2025;;10/03/2025;27;;empresa;5;gerar um panorama sobre a realização de entrevistas de desligamento, em relação à frequência, aos públicos atingidos, ao modelo e aos responsáveis pelo condução.;4;3;29;6;;;;;;;;;;;
270;Retorno após acidente de trabalho;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;39;40%;11/02/2025;;25/02/2025;07/03/2025;;10/03/2025;17;;empresa;2;capturar qual o percentual de empresas que realizam trabalho restrito após acidentes de trabalho com afastamento.;3;9;14;1;;;;;;;;;;;
267;Estruturas dos Departamentos Jurídicos;Finalizada;Solicitação de associado;Mercado e Assuntos Jurídicos;33;29%;05/02/2025;;18/02/2025;28/02/2025;;12/03/2025;23;;empresa;5;entender o dimensionamento dos departamentos jurídicos dos laboratórios associados ao Sindusfarma, além de faixas de investimento aplicados.;3;9;13;8;;;;;;;;;;;
266;Revisão médica de materiais;Finalizada;Solicitação de associado;Assuntos Regulatórios;52;64%;11/02/2025;;19/02/2025;28/02/2025;;17/03/2025;22;;empresa;3;compreender o escopo e as práticas na área de Informações Médicas, com foco especial na integração com a revisão médica de materiais promocionais e não promocionais (Medical Review).;4;8;8;11;;;;;;;;;;;
265;Armazenamento de prontuário dos colaboradores;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;50;43%;03/02/2025;;06/03/2025;12/03/2025;;18/03/2025;29;;empresa;4;entender se as empresas armazenam os prontuários dos colaboradores de maneira física ou digital, além de explorar medidas de segurança, maneiras de armazenamento e detalhes sobre o processo de migração.;5;5;31;4;;;;;;;;;;;
274;People Analytics;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;51;52%;24/02/2025;;12/03/2025;18/03/2025;;20/03/2025;16;;empresa;7;entender se as empresas possuem uma área dedicada à People Analytics ou pessoas dedicadas à indicadores dentro de outras áreas, além de capturar quais métricas são acompanhadas em relação à recursos humanos em geral.;4;5;16;2;;;;;;;;;;;
281;Sua experiência com a nova sede do Sindusfarma;Finalizada;Uso interno;Administrativo;56;;19/03/2025;;20/03/2025;20/03/2025;;24/03/2025;4;;indivíduo;1;avaliar a experiência das pessoas que vieram ao evento “Gap analysis para fins regulatórios: CMC e Clínico” em relação à entrada/recepção, instalações do auditório e do foyer, qualidade do som, iluminação e visibilidade dos projetores na visita à nova sede do Sindusfarma.;5;1;1;2;;;;;;;;;;;
233;Estagiários e Trainees 2025;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;49;45%;24/02/2025;;24/02/2025;11/03/2025;;25/03/2025;19;média;empresa;9;gerar um panorama das práticas das empresas em relação aos estagiários e trainees, envolvendo valor da bolsa-estágio e regime de contratação dos estagiários, além da eligibilidade e do plano de desenvolvimento dos trainees.;2;12;0;10;;;;;;;;;;;
273;Auxílio-Creche para pais;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;63;50%;24/02/2025;;17/03/2025;19/03/2025;;25/03/2025;19;;empresa;3;mapear as práticas das indústrias farmacêuticas em relação ao auxílio-creche para pais, analisando critérios de elegibilidade, documentação necessária e formatos de concessão do benefício.;2;3;21;4;;;;;;;;;;;
275;Administração de subsídio de medicamentos;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;58;56%;06/03/2025;;18/03/2025;21/03/2025;;27/03/2025;16;;empresa;4;mapear as práticas das indústrias farmacêuticas em relação à administração do subsídio de medicamentos, avaliando os fornecedores utilizados, a experiência dos colaboradores e possíveis melhorias no processo.;3;4;12;4;;;;;;;;;;;
284;Vale-alimentação;Finalizada;Solicitação da área técnica;Sindical Trabalhista e RH;64;62%;26/03/2025;;26/03/2025;27/03/2025;;27/03/2025;2;;empresa;1;gerar um panorama dos valores oferecidos como vale-alimentação aos colaboradores das indústrias farmacêuticas associadas ao Sindusfarma.;4;2;0;0;;;;;;;;;;;
268;Previdência privada e Benefícios no desligamento 2025;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;62;51%;21/02/2025;;19/03/2025;26/03/2025;;31/03/2025;24;;empresa;5;entender como estão estruturados os benefícios de previdência privada e para colaboradores aposentados quando são desligados.;4;6;26;3;;;;;;;;;;;
246;Serviço de Atendimento ao Consumidor (SAC) 2025;Finalizada;Pesquisa fixa anual;Assuntos Regulatórios;120;78%;27/02/2025;;27/02/2025;14/03/2025;21/03/2025;08/04/2025;29;alta;empresa;13;entender como as empresas associadas têm estruturado suas áreas de SAC em relação ao funcionamento, aos canais de atendimento, ao fluxo de queixas técnicas, ao papel estratégico da área dentro da empresa, entre outros temas relevantes.;5;17;0;17;;;;;;;;;;;
277;Almoxarifados de matérias-primas e de produtos acabados;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;49;43%;17/03/2025;;19/03/2025;28/03/2025;;09/04/2025;18;;empresa;3;avaliar as práticas relacionadas à localização dos almoxarifados, às condições de contratação dos funcionários, à obrigatoriedade do uso de capacetes de segurança e aos motivos (incluindo análise de riscos) para aprimorar a segurança e a gestão operacional nas áreas de estocagem.;4;8;2;8;;;;;;;;;;;
278;Troca de uniformes e paramentação na produção industrial;Finalizada;Solicitação de associado;Assuntos Técnicos;87;65%;19/03/2025;;31/03/2025;09/04/2025;;15/04/2025;20;;empresa;4;mapear as práticas adotadas pelas indústrias farmacêuticas relacionadas à obrigatoriedade de uniformes e paramentação para acesso à área produtiva, o tempo dedicado a essas etapas e a forma de contabilização na jornada de trabalho.;2;8;12;4;;;;;;;;;;;
271;Subsídio para tratamento em fertilidade;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;46;42%;19/03/2025;;31/03/2025;04/04/2025;;15/04/2025;20;;empresa;2;mapear as práticas adotadas pelas empresas em relação à concessão de subsídios para tratamentos de fertilidade, abrangendo o planejamento reprodutivo, congelamento de gametas e tratamentos de infertilidade, com foco em identificar se o subsídio é concedido de forma integral ou parcial.;2;5;12;7;;;;;;;;;;;
280;Política de viagens;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;42;25%;20/03/2025;;04/04/2025;09/04/2025;;23/04/2025;23;;empresa;3;entender as práticas adotadas pelas empresas quanto à elegibilidade de cargos para viagens corporativas e os critérios estabelecidos para a definição da classe de voo.;6;4;15;10;;;;;;;;;;;
236;Home Office e Short Friday 2025;Finalizada;Pesquisa fixa anual;Sindical Trabalhista e RH;73;62%;24/03/2025;;24/03/2025;04/04/2025;;23/04/2025;21;média;empresa;8;gerar um panorama sobre o modelo de trabalho dos colaboradores, mais especificamente sobre as políticas de Home Office aplicadas, além de entender se as empresas optam pelo Short Friday e como funciona.;2;10;0;13;;;;;;;;;;;
279;Uso do WhatsApp para atendimento ao consumidor 2025;Finalizada;Solicitação de associado;Assuntos Regulatórios;74;65%;19/03/2025;;02/04/2025;11/04/2025;;24/04/2025;25;;empresa;5;avaliar a implementação e eficácia do WhatsApp como canal de atendimento ao consumidor nas empresas, abrangendo aspectos de implantação, desafios, linguagem, métricas de desempenho, satisfação dos clientes e SLAs praticados, comparando com os resultados da primeira edição.;4;8;14;9;;;;;;;;;;;
282;Desconto do Vale-Refeição;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;71;67%;24/03/2025;;09/04/2025;16/04/2025;;30/04/2025;26;;empresa;3;entender as práticas das empresas em relação ao desconto do Vale-Refeição para diferentes grupos de colaboradores (Força de Vendas, Escritório e Unidades Fabris).;4;6;16;10;;;;;;;;;;;
283;Pacotes para demissão;Finalizada;Solicitação de associado;Sindical Trabalhista e RH;43;25%;20/03/2025;;16/04/2025;23/04/2025;;08/05/2025;32;;empresa;4;identificar as práticas adotadas pelas empresas em relação aos pacotes oferecidos em casos de reestruturação ou eliminação de posição, incluindo benefícios como extensão de plano de saúde, consultoria de recolocação, pagamento de salários extras e condições de compra de veículos corporativos.;4;6;27;11;;;;;;;;;;;
288;Inovação no setor farmacêutico;Finalizada;Solicitação de parceiro;Inovação;52;47%;31/03/2025;;03/04/2025;17/04/2025;30/04/2025;14/05/2025;29;;empresa;9;gerar um panorama sobre como as empresas tem se posicionado em relação à inovação, abordando áreas dedicadas, tecnologias utilizadas, participação em projetos e iniciativas de inovação aberta, desafios enfrentados, entre outros tópicos. Assim, podemos entender suas demandas para desenvolver um programa de inovação aberta junto à Biominas Brasil.;5;20;3;19;;;;;;;;;;;
